"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","barber full",,,"Worksheet","grip factors export"
"Vehicle","lamborghinievogt3",,,"Vehicle Desc","lamborghinievogt3"
"Driver","Joao G Alves",,,"Engine ID",""
"Device","ADL"
"Comment","baseline.sto",,,"Session","Test"
"Log Date","05/04/2022",,,"Origin Time","0.000","s"
"Log Time","23:09:48",,,"Start Time","0.000","s"
"Sample Rate","100.000","Hz",,"End Time","260.317","s"
"Duration","260.317","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","10358","m"
"Beacon Markers","98.317 183.236 "


"Time","Distance","Ground Speed","G Force Lat","G Force Long","Lap Distance","Tyre Pres FL","Tyre Pres FR","Tyre Pres RL","Tyre Pres RR","Throttle Pos","Brake","Steering Wheel Angle"
"s","m","km/h","G","G","m","kPa","kPa","kPa","kPa","%","%","rad"


"0.000","0","0.0034772","0.02005124","-0.00260676","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.010","0","0.0035215","0.01934111","-0.00293156","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06220816"
"0.020","0","0.0034940","0.01868817","-0.00315201","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.030","0","0.0033229","0.01814961","-0.00316372","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.040","0","0.0032054","0.01834798","-0.00316928","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.050","0","0.0031147","0.01891482","-0.00317176","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.060","0","0.0031013","0.01965625","-0.00318409","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.070","0","0.0031176","0.02028533","-0.00325415","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.080","0","0.0031932","0.02068973","-0.00343969","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.090","0","0.0032979","0.02099037","-0.00338726","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.100","0","0.0034171","0.02123913","-0.00321585","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.110","0","0.0036057","0.02083828","-0.00321132","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.120","0","0.0037532","0.02036360","-0.00320636","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.130","0","0.0038187","0.01974129","-0.00320054","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.140","0","0.0037776","0.01941048","-0.00333120","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.150","0","0.0036832","0.01922543","-0.00353009","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.160","0","0.0036099","0.01920001","-0.00304229","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.170","0","0.0035667","0.01919290","-0.00274590","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.180","0","0.0035833","0.01922244","-0.00283234","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.190","0","0.0036375","0.01949298","-0.00289359","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.200","0","0.0037105","0.01988402","-0.00294224","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.210","0","0.0036572","0.01986409","-0.00351577","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.220","0","0.0036242","0.01993006","-0.00377292","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.230","0","0.0036320","0.02016784","-0.00339733","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.240","0","0.0036445","0.02006800","-0.00325144","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.250","0","0.0036594","0.01979935","-0.00322041","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.260","0","0.0036724","0.01976514","-0.00318950","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.270","0","0.0036320","0.01964659","-0.00316032","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.280","0","0.0034849","0.01935936","-0.00313459","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.290","0","0.0034821","0.01932522","-0.00296977","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.300","0","0.0035514","0.01941762","-0.00273540","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.310","0","0.0036026","0.01957870","-0.00306062","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.320","0","0.0035857","0.01971393","-0.00335867","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.330","0","0.0034325","0.01979744","-0.00360238","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.340","0","0.0034231","0.01995464","-0.00347099","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.350","0","0.0034855","0.02014869","-0.00315207","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.360","0","0.0034732","0.01969916","-0.00339097","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.370","0","0.0034199","0.01940391","-0.00343817","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.380","0","0.0032844","0.01941719","-0.00310194","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.390","0","0.0032504","0.01948880","-0.00301382","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.400","0","0.0032670","0.01958958","-0.00304975","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.410","0","0.0031903","0.01954458","-0.00330822","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.420","0","0.0031046","0.01954717","-0.00346622","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.430","0","0.0030007","0.01964492","-0.00342329","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06214190"
"0.440","0","0.0029483","0.01978886","-0.00336957","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06220816"
"0.450","0","0.0029218","0.01995588","-0.00331046","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.460","0","0.0029205","0.01986652","-0.00327415","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.470","0","0.0029012","0.01975221","-0.00324678","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.480","0","0.0028459","0.01958797","-0.00323728","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.490","0","0.0028632","0.01953939","-0.00306733","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.500","0","0.0029167","0.01954863","-0.00281715","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.510","0","0.0028968","0.01959438","-0.00312515","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.520","0","0.0028818","0.01964931","-0.00332699","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.530","0","0.0028764","0.01972261","-0.00331647","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.540","0","0.0028500","0.01974034","-0.00329635","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.550","0","0.0028130","0.01973029","-0.00327142","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.560","0","0.0027873","0.01971456","-0.00324827","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.570","0","0.0027632","0.01969731","-0.00322721","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.580","0","0.0027423","0.01967700","-0.00321032","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.590","0","0.0027222","0.01966742","-0.00320234","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.600","0","0.0027025","0.01966320","-0.00319881","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.610","0","0.0026880","0.01966519","-0.00318983","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.620","0","0.0026927","0.01965646","-0.00308914","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.630","0","0.0027354","0.01962629","-0.00280499","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.640","0","0.0027330","0.01965014","-0.00291614","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.650","0","0.0027079","0.01970101","-0.00322494","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.660","0","0.0027166","0.01973699","-0.00321494","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
"0.670","0","0.0027189","0.01975330","-0.00320667","87.36537","165.387840","165.387840","165.387840","165.387840","0.000000","100.000000","0.06230755"
